AS AVENTURAS DE DORINHA,"R$ 54,90",Páginas: 32,Formato: 23.00 X 25.00 cm,Peso: 0.167 kg,Acabamento: Livro brochura,Lançamento: 25/07/2023,ISBN: 978-65-5485-013-1
O CLUBE DO PEPEZINHO: COM PROPÓSITO,"R$ 54,90",Páginas: 224,Formato: 13.50 X 20.50 cm,Peso: 0.387 kg,Acabamento: Livro brochura,Lançamento: 25/07/2023,ISBN: 978-65-5485-002-5
PISCINA,"R$ 64,90",Páginas: 60,Formato: 22.00 X 30.60 cm,Peso: 0.559 kg,Acabamento: Livro capa dura,Lançamento: 18/07/2023,ISBN: 978-65-8177-643-5
PASSA-ANEL,"R$ 59,90",Páginas: 136,Formato: 15.50 X 22.00 cm,Peso: 0.231 kg,Acabamento: Livro brochura,Lançamento: 18/07/2023,ISBN: 978-65-5485-012-4
AQUI E AQUI,"R$ 54,90",Páginas: 64,Formato: 20.50 X 20.50 cm,Peso: 0.223 kg,Acabamento: Livro brochura,Lançamento: 13/06/2023,ISBN: 978-65-5485-009-4
A MENINA JURÁSSICA,"R$ 49,90",Páginas: 56,Formato: 14.50 X 20.50 cm,Peso: 0.14 kg,Acabamento: Livro brochura,Lançamento: 06/06/2023,ISBN: 978-65-5485-007-0
O LIVRO DA HISTÓRIA DA COMUNICAÇÃO,"R$ 69,90",Páginas: 80,Formato: 19.00 X 25.00 cm,Peso: 0.257 kg,Acabamento: Livro brochura,Lançamento: 30/05/2023,ISBN: 978-85-7406-953-1
O LIVRO DA HISTÓRIA DO LIVRO,"R$ 69,90",Páginas: 80,Formato: 19.00 X 25.00 cm,Peso: 0.257 kg,Acabamento: Livro brochura,Lançamento: 30/05/2023,ISBN: 978-85-7406-954-8
MINHA VÓ IA AO CINEMA,"R$ 59,90",Páginas: 48,Formato: 25.00 X 20.00 cm,Peso: 0.21 kg,Acabamento: Livro brochura,Lançamento: 16/05/2023,ISBN: 978-65-5485-003-2
ALMOÇO DE FAMÍLIA,"R$ 64,90",Páginas: 30,Formato: 23.00 X 20.50 cm,Peso: 0.135 kg,Acabamento: Livro brochura,Lançamento: 09/05/2023,ISBN: 978-65-8177-629-9
DOMINGO,"R$ 59,90",Páginas: 56,Formato: 19.50 X 27.00 cm,Peso: 0.253 kg,Acabamento: Livro brochura,Lançamento: 09/05/2023,ISBN: 978-65-5485-001-8
HISTÓRIAS DA PRETA (NOVA EDIÇÃO),"R$ 54,90",Páginas: 64,Formato: 20.00 X 26.00 cm,Peso: 0.223 kg,Acabamento: Livro brochura,Lançamento: 08/05/2023,ISBN: 978-65-8177-666-4
CHAPEUZINHOS COLORIDOS (NOVA EDIÇÃO),"R$ 52,90",Páginas: 56,Formato: 20.20 X 27.00 cm,Peso: 0.262 kg,Acabamento: Livro brochura,Lançamento: 08/05/2023,ISBN: 978-65-8177-662-6
PALMAS PARA O BICHO QUE ELE MERECE!,"R$ 59,90",Páginas: 32,Formato: 24.00 X 19.00 cm,Peso: 0.137 kg,Acabamento: Livro brochura,Lançamento: 02/05/2023,ISBN: 978-65-8177-669-5
JOÃO PESTANA,"R$ 49,90",Páginas: 32,Formato: 18.50 X 20.50 cm,Peso: 0.124 kg,Acabamento: Livro brochura,Lançamento: 18/04/2023,ISBN: 978-65-8177-673-2
OMO-OBA: HISTÓRIAS DE PRINCESAS E PRÍNCIPES,"R$ 54,90",Páginas: 64,Formato: 20.00 X 27.00 cm,Peso: 0.24 kg,Acabamento: Livro brochura,Lançamento: 18/04/2023,ISBN: 978-65-8177-642-8
DUDU E A CAIXA (NOVA EDIÇÃO),"R$ 49,90",Páginas: 32,Formato: 21.00 X 27.00 cm,Peso: 0.17 kg,Acabamento: Livro brochura,Lançamento: 11/04/2023,ISBN: 978-65-8177-646-6
MAMÃE ESTÁ CANSADA,"R$ 54,90",Páginas: 32,Formato: 20.00 X 27.00 cm,Peso: 0.162 kg,Acabamento: Livro brochura,Lançamento: 11/04/2023,ISBN: 978-65-5485-000-1
